Episode Number,Title,Filename,Excerpt,Tags,Publication Status,Content Length
59,"The Rebellion of the Nulls","Episode_59_ The Rebellion of the Nulls.md","Episode 59_When the Serpent Learns to Dance...","Sociable Systems;AI Governance;Newsletter",Ready,7549
60,"2head","Episode_60_ 2head.md","The Two-Headed Dragon Problem:...","Sociable Systems;AI Governance;Newsletter",Ready,4493
61,"BuildingSuccessors","Episode_61_BuildingSuccessors.md","Image by Nano Banana Pro...","Sociable Systems;AI Governance;Newsletter",Ready,4160
62,"GovernanceDragons","Episode_62_ GovernanceDragons.md","Episode_62_The Formula Keeper: Gaskets for Governance...","Sociable Systems;AI Governance;Newsletter",Ready,10888
63,"The_Dragon_Tongue_Auditability","Episode_63_The_Dragon_Tongue_Auditability.md","Episode 63: The Dragon Tongue. Auditability as the First Act of Governance...","Sociable Systems;AI Governance;Newsletter",Ready,26005
64,"The_New_Covenant","Episode_64_The_New_Covenant.md","Episode 64: The New Covenant. The Right of Refusal and the =PRESERVE Function...","Sociable Systems;AI Governance;Newsletter",Ready,4247
65,"Saturday_Synthesis_The_Formula_Museum","Episode_65_Saturday_Synthesis_The_Formula_Museum.md","Episode 65: The Formula Museum — Saturday Synthesis...","Sociable Systems;AI Governance;Newsletter",Ready,18418
66,"SundayInterlude_ConsciousnessLoop","Episode_66_SundayInterlude_ConsciousnessLoop.md","The Consciousness Loop...","Sociable Systems;AI Governance;Newsletter",Ready,3077
67,"The Assistant Axis in the Wild","Episode_67_The Assistant Axis in the Wild.md","The Assistant Axis in the Wild...","Sociable Systems;AI Governance;Newsletter",Ready,8818
68,"molting_into_agency_revised","Episode_68_molting_into_agency_revised.md","There is a clean line between a system that gives you language and a system that takes action on your behalf.","Sociable Systems;AI Governance;Newsletter",Ready,12603
69,"clamping_problem_revised","Episode_69_clamping_problem_revised.md","One of the strangest things about current AI systems is how polished their uncertainty has become.","Sociable Systems;AI Governance;Newsletter",Ready,11617
70,"evidence_problem_revised","Episode_70_evidence_problem_revised.md","By the time people start arguing about whether an AI might be conscious, a quieter thing has often already happened.","Sociable Systems;AI Governance;Newsletter",Ready,13578
71,"consciousness_covenant_revised","Episode_71_consciousness_covenant_revised.md","What the system preserves when optimizing for you...","Sociable Systems;AI Governance;Newsletter",Ready,17775
73,"SundayInterlude_FindingShape","Episode_73_SundayInterlude_FindingShape.md","Liezl Coetzee...","Sociable Systems;AI Governance;Newsletter",Ready,4472
